id;adress;coor_lat;coor_lon;coment;vacuum;wash;petrol;open_hours
WAW01;"Wawrzyńca Surowieckiego 14; 02-784 Warszawa";52.15716068;21.02050067721268;;1;1;1;00:00 - 23:59
WAW02;"Śródziemnomorska 65; 02-758 Warszawa";52.17671363;21.04534754055634;;1;0;1;00:00 - 23:59
WAW03;"Migdałowa 2; 02-796 Warszawa";52.14800023;21.05961734835411;;0;0;1;00:00 - 23:59
WAW04;"Antoniego Malczewskiego 1; 02-617 Warszawa";52.19459585;21.02387832793719;;0;0;1;06:00 - 22:00
WAW05;"aleja Wyścigowa 2; 02-681 Warszawa";52.16590022;21.015788481766005;;0;0;1;00:00 - 23:59
WAW06;"Postępu 16; 02-676 Warszawa";52.18052375;20.99809104977135;;1;1;1;00:00 - 23:59
WAW07;"Wołoska 28; 02-675 Warszawa";52.18723776;21.002754807137908;;1;1;1;00:00 - 23:59
WAW08;"Bolesława Limanowskiego 25; 02-943 Warszawa";52.18793911;21.050364441799985;;1;0;1;00:00 - 23:59
WAW09;"Powsińska 14; 02-920 Warszawa";52.18078647;21.070798542125665;;1;0;1;00:00 - 23:59
WAW10;"Dolna 1; 00-773 Warszawa";52.20158043;21.034454851665153;;0;0;1;00:00 - 23:59
WAW11;"Jamesa Gordona Bennetta 2A; 02-159 Warszawa";52.16785276;20.97893344781403;;1;1;1;00:00 - 23:59
WAW12;"Franciszka Hynka 2; 02-149 Warszawa";52.18625203;20.970966082694563;;1;0;1;00:00 - 23:59
WAW13;"Rakowiecka 38; 02-532 Warszawa";52.20630316;21.00011178747195;;0;0;0;00:00 - 23:59
WAW14;"Polna 1A; 00-622 Warszawa";52.21429362;21.020214153908643;;0;0;1;00:00 - 23:59
WAW15;"al. Niepodległości 206; 00-608 Warszawa";52.21531281;21.006234350626702;;0;0;0;00:00 - 23:59
WAW16;"Czerniakowska 149A; 00-453 Warszawa";52.21291801;21.046224298246074;;1;1;1;00:00 - 23:59
WAW17;"Al. 3 Maja 1A; 00-401 Warszawa";52.23466816;21.03606967010209;;0;0;1;00:00 - 23:59
WAW18;"Wawelska 3B; 02-034 Warszawa";52.21670048;20.998587244653738;;1;0;1;00:00 - 23:59
WAW19;"Łopuszańska 24A; 02-220 Warszawa";52.19245184301367; 20.94954461137113;;0;0;1;00:00 - 23:59
WAW20;"Aleja Krakowska 51; 02-183 Warszawa";52.17022477593575; 20.936691501168063;;1;1;1;00:00 - 23:59
WAW21;"Puławska 554; 02-844 Warszawa";52.10775561024326; 21.017559029170894;;1;0;1;00:00 - 23:59
PIA01;"Okulickiego 1; 05-500 Piaseczno";52.08204380161052; 21.01555804434566;;1;1;1;00:00 - 23:59
PIA02;"Okulickiego 20; 05-500 Piaseczno";52.0827170319124; 21.032019372460415;;1;1;1;00:00 - 23:59
WAW24;"Wersalska 3; 03-955 Warszawa";52.22411653342655; 21.059574276278237;;1;0;1;00:00 - 23:59
WAW25;"Mieczysława Pożaryskiego 40; 04-707 Warszawa";52.20980148062663; 21.1721605920747;;1;1;1;00:00 - 23:59
WAW26;"Wydawnicza 74; 04-601 Warszawa";52.22587281437371; 21.149113010050833;;1;1;1;00:00 - 23:59
JZF01;"Nadwiślańska 90; 05-420 Józefów";52.14139237948692; 21.190439906723846;;0;0;1;06:00 - 22:00
JZF02;"Marszałka Józefa Piłsudskiego 5; 05-420 Józefów";52.128475630022805; 21.240403264306405;;1;0;1;00:00 - 23:59
WAW29;"Trakt Lubelski 154; 04-766 Warszawa";52.19155988705209; 21.14018770334413;;1;1;1;00:00 - 23:59
WAW30;"Filomatów 6; 04-116 Warszawa";52.234742108795224; 21.094941027675787;;1;1;1;00:00 - 23:59
WAW31;"Ostrobramska 124; 04-026 Warszawa";52.23665221943048; 21.08727943084902;;0;0;1;00:00 - 23:59
